year,month,district,temp_max_c,temp_min_c,temp_avg_c,rainfall_mm,humidity_percent,solar_radiation
2010,1,Sheikhpura,23.9,16.2,20.0,26.0,72.4,22.2
2010,1,Lakhisarai,26.8,11.9,19.4,7.9,72.6,20.0
2010,1,Jamui,21.0,9.2,15.1,9.0,71.3,22.1
2010,1,Munger,21.6,16.5,19.0,12.0,71.9,19.9
2010,1,Banka,25.9,11.8,18.8,13.7,72.6,15.4
2010,1,Nawada,27.8,14.5,21.1,15.8,69.4,16.2
2010,1,Katihar,24.1,17.9,21.0,10.9,70.8,19.3
2010,2,Patna,25.2,10.0,17.6,16.8,74.7,17.0
2010,2,Gaya,25.1,13.8,19.4,19.1,69.2,20.0
2010,2,Bhagalpur,20.1,17.0,18.6,25.7,62.6,19.1
2010,2,Muzaffarpur,26.2,17.8,22.0,28.8,73.5,16.6
2010,2,Darbhanga,27.3,16.8,22.1,14.4,65.9,19.6
2010,2,Purnia,25.2,10.6,17.9,5.6,62.1,19.4
2010,2,Araria,22.3,15.6,19.0,7.7,73.8,24.0
2010,2,Kishanganj,27.3,15.4,21.3,7.7,66.6,16.3
2010,2,West Champaran,27.9,11.3,19.6,19.6,71.7,24.2
2010,2,East Champaran,26.0,14.7,20.4,16.6,69.1,15.9
2010,2,Sheohar,27.1,13.4,20.3,6.0,73.8,19.9
2010,2,Sitamarhi,26.9,16.6,21.8,25.4,60.9,17.5
2010,2,Madhubani,27.0,17.0,22.0,16.5,66.6,16.8
2010,2,Supaul,27.7,10.1,18.9,9.8,69.9,17.4
2010,2,Saharsa,27.5,8.1,17.8,5.1,67.6,19.9
2010,2,Madhepura,21.3,12.9,17.1,15.3,73.4,15.1
2010,2,Khagaria,27.8,14.2,21.0,8.8,60.7,20.4
2010,2,Begusarai,21.9,11.0,16.4,11.1,69.8,20.5
2010,2,Samastipur,20.6,13.3,16.9,24.8,61.2,23.9
2010,2,Vaishali,24.6,17.5,21.1,8.7,74.9,21.4
2010,2,Saran,24.5,13.2,18.8,5.6,74.1,21.4
2010,2,Siwan,20.7,8.2,14.5,6.3,69.1,21.1
2010,2,Gopalganj,24.0,11.1,17.5,18.3,67.7,15.2
2010,2,Rohtas,22.3,8.5,15.4,27.5,70.9,25.0
2010,2,Buxar,22.4,16.8,19.6,20.1,66.8,17.2
2010,2,Kaimur,25.9,17.0,21.5,10.9,62.6,22.0
2010,2,Bhojpur,27.8,15.5,21.7,12.1,66.3,18.8
2010,2,Arwal,26.8,15.7,21.3,19.7,64.1,24.4
2010,2,Jehanabad,25.2,17.7,21.5,19.5,72.3,23.1
2010,2,Aurangabad,22.7,17.6,20.2,5.5,71.5,24.7
2010,2,Nalanda,22.7,14.5,18.6,19.1,71.4,23.7
2010,2,Sheikhpura,24.8,16.2,20.5,12.8,63.4,19.3
2010,2,Lakhisarai,25.4,9.9,17.6,22.0,65.9,23.0
2010,2,Jamui,20.3,14.7,17.5,21.2,74.1,22.1
2010,2,Munger,26.4,17.0,21.7,21.9,64.4,23.7
2010,2,Banka,26.0,12.2,19.1,22.8,73.0,24.8
2010,2,Nawada,27.6,11.3,19.4,15.5,61.6,17.5
2010,2,Katihar,27.1,11.6,19.3,20.5,70.0,22.8
2010,3,Patna,32.2,21.0,26.6,41.4,64.1,24.8
2010,3,Gaya,40.0,22.8,31.4,71.5,63.7,22.9
2010,3,Bhagalpur,32.7,25.7,29.2,42.0,57.7,17.7
2010,3,Muzaffarpur,34.8,25.5,30.2,15.1,71.5,22.2
2010,3,Darbhanga,37.8,25.6,31.7,22.5,69.7,24.4
2010,3,Purnia,37.3,24.1,30.7,61.6,63.3,22.0
2010,3,Araria,41.0,18.1,29.6,70.9,60.5,19.6
2010,3,Kishanganj,40.2,26.2,33.2,72.4,78.5,19.5
2010,3,West Champaran,37.9,21.9,29.9,34.6,65.8,22.4
2010,3,East Champaran,36.0,26.1,31.1,62.2,55.5,21.3
2010,3,Sheohar,35.2,22.6,28.9,67.3,68.7,23.9
2010,3,Sitamarhi,38.6,23.5,31.0,62.8,56.0,15.3
2010,3,Madhubani,31.0,22.4,26.7,26.5,79.6,20.4
2010,3,Supaul,37.9,20.8,29.4,32.5,63.4,22.0
2010,3,Saharsa,35.7,23.2,29.4,51.4,74.2,15.9
2010,3,Madhepura,39.3,23.6,31.5,56.8,63.2,19.1
2010,3,Khagaria,32.8,27.8,30.3,44.8,79.9,19.9
2010,3,Begusarai,32.6,23.1,27.9,12.8,77.6,23.2
2010,3,Samastipur,38.7,24.1,31.4,50.6,79.9,17.8
2010,3,Vaishali,39.4,23.8,31.6,78.3,75.7,25.0
2010,3,Saran,37.1,20.0,28.6,45.3,72.8,22.7
2010,3,Siwan,30.0,23.1,26.5,26.5,76.9,16.5
2010,3,Gopalganj,38.0,20.7,29.3,35.0,78.5,17.4
2010,3,Rohtas,31.1,18.7,24.9,45.3,71.0,18.3
2010,3,Buxar,38.3,18.6,28.4,70.0,75.4,24.9
2010,3,Kaimur,41.2,21.6,31.4,37.9,73.6,16.3
2010,3,Bhojpur,33.8,19.2,26.5,41.8,68.8,17.1
2010,3,Arwal,30.3,25.2,27.8,11.4,79.3,17.2
2010,3,Jehanabad,38.0,22.3,30.2,14.2,66.8,20.2
2010,3,Aurangabad,40.3,25.3,32.8,15.6,60.2,18.1
2010,3,Nalanda,31.4,22.6,27.0,78.9,67.9,22.4
2010,3,Sheikhpura,38.2,26.5,32.3,25.1,73.8,23.8
2010,3,Lakhisarai,32.1,21.5,26.8,77.9,74.5,17.8
2010,3,Jamui,36.8,22.0,29.4,44.3,63.9,17.8
2010,3,Munger,38.1,25.8,31.9,71.2,58.9,23.2
2010,3,Banka,33.1,22.3,27.7,73.1,66.4,17.0
2010,3,Nawada,31.9,22.7,27.3,63.4,79.9,22.9
2010,3,Katihar,40.5,25.5,33.0,72.7,56.9,24.3
2010,4,Patna,34.8,27.2,31.0,15.3,72.9,22.4
2010,4,Gaya,42.0,25.7,33.8,36.8,68.9,18.7
2010,4,Bhagalpur,32.4,20.5,26.4,25.5,68.7,24.1
2010,4,Muzaffarpur,41.0,18.5,29.8,15.6,61.1,17.6
2010,4,Darbhanga,31.1,21.9,26.5,51.1,69.5,20.4
2010,4,Purnia,34.1,25.1,29.6,67.9,63.7,15.9
2010,4,Araria,33.6,19.4,26.5,42.7,58.9,19.6
2010,4,Kishanganj,32.7,25.4,29.0,11.9,68.9,16.7
2010,4,West Champaran,30.0,26.7,28.4,57.0,57.5,21.6
2010,4,East Champaran,37.3,22.7,30.0,39.3,77.2,17.5
2010,4,Sheohar,34.8,21.3,28.0,64.0,77.9,23.5
2010,4,Sitamarhi,39.6,27.9,33.7,58.8,73.8,24.8
2010,4,Madhubani,30.1,24.3,27.2,61.7,77.9,23.8
2010,4,Supaul,40.1,27.5,33.8,47.6,55.2,15.1
2010,4,Saharsa,36.5,22.4,29.4,41.6,65.0,24.2
2010,4,Madhepura,34.3,26.6,30.4,73.2,67.5,19.5
2010,4,Khagaria,39.1,25.1,32.1,33.0,57.6,17.6
2010,4,Begusarai,31.6,20.9,26.3,28.3,70.9,24.5
2010,4,Samastipur,38.2,27.3,32.7,64.9,73.2,19.1
2010,4,Vaishali,33.9,26.5,30.2,73.4,66.3,15.1
2010,4,Saran,39.5,20.9,30.2,10.7,75.1,20.2
2010,4,Siwan,38.2,27.1,32.7,47.9,67.6,17.9
2010,4,Gopalganj,33.7,26.0,29.8,41.4,59.1,15.9
2010,4,Rohtas,35.7,22.6,29.2,55.7,66.8,16.4
2010,4,Buxar,36.1,27.1,31.6,21.2,72.2,20.9
2010,4,Kaimur,39.0,19.5,29.2,75.9,70.5,23.5
2010,4,Bhojpur,33.0,25.4,29.2,64.7,64.9,18.8
2010,4,Arwal,37.9,18.9,28.4,61.5,56.1,16.9
2010,4,Jehanabad,38.0,19.0,28.5,78.0,76.7,21.3
2010,4,Aurangabad,39.8,26.9,33.4,28.2,76.2,16.9
2010,4,Nalanda,35.0,23.6,29.3,60.0,55.8,17.9
2010,4,Sheikhpura,37.3,21.6,29.4,64.3,71.3,17.3
2010,4,Lakhisarai,31.8,24.3,28.0,41.5,59.2,18.3
2010,4,Jamui,33.6,19.1,26.4,48.3,74.1,20.8
2010,4,Munger,39.9,19.3,29.6,40.5,70.2,21.8
2010,4,Banka,38.3,25.3,31.8,55.6,57.4,22.0
2010,4,Nawada,38.7,27.9,33.3,58.5,72.2,20.1
2010,4,Katihar,40.4,28.0,34.2,64.5,70.3,15.8
2010,5,Patna,38.7,25.1,31.9,64.3,58.1,21.5
2010,5,Gaya,33.5,25.6,29.6,26.8,72.1,17.9
2010,5,Bhagalpur,30.1,24.3,27.2,17.9,71.5,24.3
2010,5,Muzaffarpur,41.6,20.4,31.0,66.6,63.8,24.0
2010,5,Darbhanga,39.4,18.7,29.1,38.5,63.4,22.9
2010,5,Purnia,34.9,24.8,29.9,52.2,79.4,24.4
2010,5,Araria,35.1,25.2,30.2,68.1,77.5,15.7
2010,5,Kishanganj,33.6,21.2,27.4,40.4,59.2,20.0
2010,5,West Champaran,38.0,23.0,30.5,56.6,56.7,23.8
2010,5,East Champaran,41.3,24.2,32.7,71.7,58.3,23.0
2010,5,Sheohar,31.4,22.1,26.8,32.7,69.6,18.0
2010,5,Sitamarhi,37.6,21.7,29.7,70.3,70.8,17.2
2010,5,Madhubani,34.0,26.5,30.3,37.1,68.4,21.5
2010,5,Supaul,34.2,20.9,27.6,43.3,60.4,17.8
2010,5,Saharsa,30.7,21.0,25.9,32.4,79.0,20.9
2010,5,Madhepura,39.4,18.5,29.0,17.5,75.4,21.2
2010,5,Khagaria,32.3,22.0,27.2,47.7,76.1,15.6
2010,5,Begusarai,37.2,25.2,31.2,78.5,75.2,17.8
2010,5,Samastipur,38.5,25.6,32.1,61.1,75.5,24.0
2010,5,Vaishali,31.2,19.0,25.1,65.7,61.3,15.6
2010,5,Saran,34.8,26.2,30.5,18.9,71.8,15.0
2010,5,Siwan,31.3,21.5,26.4,15.9,76.1,23.6
2010,5,Gopalganj,39.1,20.4,29.7,46.6,59.6,17.8
2010,5,Rohtas,36.2,25.4,30.8,16.6,62.4,24.3
2010,5,Buxar,35.1,27.4,31.3,79.4,68.2,17.9
2010,5,Kaimur,39.5,19.6,29.5,27.6,74.6,19.3
2010,5,Bhojpur,32.4,24.5,28.5,61.3,58.1,17.8
2010,5,Arwal,32.7,21.8,27.2,63.4,72.8,21.6
2010,5,Jehanabad,30.1,19.4,24.7,25.6,61.8,16.5
2010,5,Aurangabad,34.9,18.8,26.8,62.5,74.7,20.7
2010,5,Nalanda,31.1,26.9,29.0,77.6,60.1,22.0
2010,5,Sheikhpura,40.1,23.4,31.8,32.6,67.0,20.1
2010,5,Lakhisarai,34.8,27.3,31.1,62.1,61.0,20.9
2010,5,Jamui,38.3,19.4,28.8,35.1,77.6,20.7
2010,5,Munger,32.6,19.2,25.9,46.3,68.7,18.3
2010,5,Banka,37.6,18.7,28.1,20.2,68.7,15.6
2010,5,Nawada,40.6,19.4,30.0,57.2,64.8,19.0
2010,5,Katihar,39.2,23.0,31.1,60.8,67.6,20.9
2010,6,Patna,33.3,25.6,29.5,303.9,86.8,24.5
2010,6,Gaya,30.6,25.5,28.0,171.6,80.4,19.1
2010,6,Bhagalpur,33.8,25.1,29.5,332.8,75.3,19.6
2010,6,Muzaffarpur,34.3,23.3,28.8,157.9,81.5,22.0
2010,6,Darbhanga,31.2,24.8,28.0,317.5,78.8,22.5
2010,6,Purnia,29.1,24.4,26.7,314.0,87.4,22.9
2010,6,Araria,33.1,24.2,28.6,180.6,78.3,23.6
2010,6,Kishanganj,34.0,27.7,30.9,169.0,83.1,21.5
2010,6,West Champaran,33.0,25.9,29.4,342.5,80.4,16.8
2010,6,East Champaran,29.4,22.1,25.8,237.6,76.4,18.2
2010,6,Sheohar,32.4,27.4,29.9,359.9,78.8,16.3
2010,6,Sitamarhi,29.4,27.8,28.6,287.4,77.7,23.4
2010,6,Madhubani,30.8,27.4,29.1,215.2,80.9,20.0
2010,6,Supaul,34.2,27.2,30.7,293.6,78.3,19.0
2010,6,Saharsa,34.8,25.6,30.2,345.3,81.7,20.3
2010,6,Madhepura,31.0,26.2,28.6,362.9,82.6,19.8
2010,6,Khagaria,30.4,23.1,26.7,384.8,79.7,23.0
2010,6,Begusarai,33.0,26.7,29.9,384.2,84.4,24.0
2010,6,Samastipur,29.2,25.8,27.5,343.1,79.1,22.4
2010,6,Vaishali,33.4,27.0,30.2,228.2,85.2,18.0
2010,6,Saran,33.2,24.8,29.0,299.4,81.2,16.6
2010,6,Siwan,29.2,22.5,25.9,304.5,87.7,15.2
2010,6,Gopalganj,28.5,24.7,26.6,334.4,77.4,17.7
2010,6,Rohtas,29.6,24.4,27.0,206.2,80.3,22.3
2010,6,Buxar,32.3,22.5,27.4,309.4,82.2,24.3
2010,6,Kaimur,30.0,26.4,28.2,332.7,78.3,24.0
2010,6,Bhojpur,31.4,26.1,28.8,186.5,78.9,20.9
2010,6,Arwal,30.2,25.0,27.6,243.5,84.6,19.9
2010,6,Jehanabad,28.0,25.9,27.0,255.5,80.1,15.9
2010,6,Aurangabad,29.5,23.3,26.4,383.8,81.5,15.4
2010,6,Nalanda,29.0,22.5,25.7,297.2,77.8,20.0
2010,6,Sheikhpura,30.6,26.8,28.7,230.1,81.9,22.2
2010,6,Lakhisarai,31.0,26.8,28.9,315.4,81.2,20.0
2010,6,Jamui,34.8,26.0,30.4,376.2,77.7,19.8
2010,6,Munger,34.4,23.9,29.1,391.9,76.5,24.0
2010,6,Banka,31.1,22.4,26.8,369.9,78.8,15.2
2010,6,Nawada,29.0,26.0,27.5,394.5,76.7,19.6
2010,6,Katihar,29.3,26.5,27.9,179.5,78.6,17.0
2010,7,Patna,31.9,27.2,29.6,277.8,75.9,20.6
2010,7,Gaya,33.6,22.8,28.2,168.2,77.8,22.5
2010,7,Bhagalpur,32.1,25.2,28.7,212.4,80.0,24.7
2010,7,Muzaffarpur,29.7,27.4,28.5,295.1,76.8,19.7
2010,7,Darbhanga,34.6,24.5,29.6,365.8,78.8,20.7
2010,7,Purnia,33.9,27.5,30.7,271.5,84.6,15.0
2010,7,Araria,29.8,23.7,26.7,173.4,79.2,18.2
2010,7,Kishanganj,34.8,26.0,30.4,256.5,89.8,16.5
2010,7,West Champaran,31.3,25.9,28.6,163.9,85.8,16.0
2010,7,East Champaran,29.0,23.0,26.0,382.2,85.2,21.6
2010,7,Sheohar,31.9,23.8,27.8,305.2,81.2,16.5
2010,7,Sitamarhi,32.8,22.8,27.8,197.7,87.3,21.6
2010,7,Madhubani,32.4,24.5,28.5,249.1,85.4,22.4
2010,7,Supaul,31.6,27.8,29.7,388.9,81.2,23.2
2010,7,Saharsa,31.8,25.1,28.4,163.7,83.6,24.0
2010,7,Madhepura,33.5,26.7,30.1,190.0,80.4,17.3
2010,7,Khagaria,30.2,25.5,27.8,241.2,83.4,19.4
2010,7,Begusarai,30.0,22.6,26.3,373.0,75.2,15.0
2010,7,Samastipur,33.8,28.0,30.9,331.8,75.2,17.3
2010,7,Vaishali,34.8,26.9,30.8,291.7,78.6,15.1
2010,7,Saran,28.1,25.7,26.9,155.5,89.9,16.8
2010,7,Siwan,33.0,22.9,28.0,285.0,76.2,22.7
2010,7,Gopalganj,32.1,22.5,27.3,362.1,83.2,24.2
2010,7,Rohtas,34.4,27.5,31.0,169.4,76.8,24.9
2010,7,Buxar,31.4,23.4,27.4,342.4,79.0,22.3
2010,7,Kaimur,33.9,26.7,30.3,218.5,81.0,19.1
2010,7,Bhojpur,31.4,23.0,27.2,263.1,82.7,20.3
2010,7,Arwal,33.7,25.1,29.4,207.7,84.9,23.0
2010,7,Jehanabad,30.2,25.9,28.1,186.7,80.1,24.1
2010,7,Aurangabad,34.4,25.5,29.9,325.6,87.8,24.6
2010,7,Nalanda,31.4,25.4,28.4,253.9,76.1,19.2
2010,7,Sheikhpura,33.5,26.8,30.2,373.1,75.8,20.3
2010,7,Lakhisarai,28.8,23.2,26.0,375.1,82.5,22.6
2010,7,Jamui,28.5,24.5,26.5,318.6,77.0,18.3
2010,7,Munger,28.5,25.9,27.2,392.7,87.4,24.7
2010,7,Banka,33.9,27.1,30.5,294.3,82.8,19.1
2010,7,Nawada,33.7,23.1,28.4,164.1,89.2,15.0
2010,7,Katihar,34.8,26.4,30.6,232.1,85.5,23.2
2010,8,Patna,29.7,26.6,28.2,351.1,78.7,15.4
2010,8,Gaya,29.4,23.2,26.3,166.3,85.9,18.8
2010,8,Bhagalpur,34.2,23.5,28.9,263.3,84.6,23.8
2010,8,Muzaffarpur,31.7,24.2,28.0,366.8,79.7,15.8
2010,8,Darbhanga,31.1,26.7,28.9,157.7,83.8,20.9
2010,8,Purnia,34.5,23.7,29.1,219.7,81.6,18.6
2010,8,Araria,33.2,25.9,29.5,339.7,87.3,24.2
2010,8,Kishanganj,31.0,27.9,29.5,203.9,85.7,20.3
2010,8,West Champaran,33.7,24.9,29.3,346.0,89.0,22.3
2010,8,East Champaran,33.4,22.4,27.9,201.2,89.6,21.9
2010,8,Sheohar,31.9,24.2,28.1,161.1,80.5,20.0
2010,8,Sitamarhi,29.5,23.0,26.3,277.1,83.8,17.4
2010,8,Madhubani,32.1,27.4,29.8,268.3,87.9,24.3
2010,8,Supaul,28.6,22.6,25.6,269.0,83.8,19.3
2010,8,Saharsa,30.3,25.8,28.1,150.5,89.5,17.3
2010,8,Madhepura,34.4,22.7,28.5,209.5,78.5,25.0
2010,8,Khagaria,28.0,25.8,26.9,367.4,85.1,18.6
2010,8,Begusarai,34.7,27.4,31.0,258.5,83.6,24.7
2010,8,Samastipur,34.9,24.7,29.8,361.8,79.5,18.7
2010,8,Vaishali,29.2,23.3,26.2,314.2,82.7,17.3
2010,8,Saran,30.8,24.2,27.5,396.8,87.8,18.9
2010,8,Siwan,34.4,24.1,29.2,317.0,89.5,18.9
2010,8,Gopalganj,32.8,23.8,28.3,216.6,83.6,24.8
2010,8,Rohtas,31.2,27.6,29.4,378.6,78.8,19.0
2010,8,Buxar,32.5,25.1,28.8,174.0,89.9,22.5
2010,8,Kaimur,31.1,25.7,28.4,171.9,82.4,24.3
2010,8,Bhojpur,34.3,24.0,29.2,282.8,85.5,18.4
2010,8,Arwal,28.5,25.0,26.7,300.4,75.1,16.0
2010,8,Jehanabad,29.5,24.1,26.8,285.3,79.4,17.8
2010,8,Aurangabad,34.1,22.9,28.5,273.9,89.3,21.3
2010,8,Nalanda,33.0,24.6,28.8,155.0,84.7,21.3
2010,8,Sheikhpura,28.8,24.8,26.8,378.8,78.1,19.6
2010,8,Lakhisarai,31.2,26.9,29.0,356.1,86.4,18.7
2010,8,Jamui,28.5,24.1,26.3,319.9,85.5,24.7
2010,8,Munger,31.2,25.8,28.5,284.8,77.3,19.6
2010,8,Banka,31.8,27.7,29.8,241.6,89.7,20.4
2010,8,Nawada,29.7,23.1,26.4,185.4,81.8,15.2
2010,8,Katihar,31.1,27.9,29.5,317.5,86.4,16.2
2010,9,Patna,31.3,23.7,27.5,373.5,77.7,19.6
2010,9,Gaya,32.1,25.1,28.6,357.6,78.5,18.8
2010,9,Bhagalpur,33.5,25.2,29.4,250.5,75.4,22.5
2010,9,Muzaffarpur,34.8,25.7,30.3,364.1,82.8,17.3
2010,9,Darbhanga,28.1,25.9,27.0,273.3,86.7,21.9
2010,9,Purnia,34.9,25.1,30.0,256.8,79.3,19.8
2010,9,Araria,34.1,22.3,28.2,394.5,89.9,21.0
2010,9,Kishanganj,30.3,23.3,26.8,219.1,75.8,19.8
2010,9,West Champaran,28.4,26.3,27.4,243.0,78.0,20.4
2010,9,East Champaran,34.8,26.2,30.5,272.9,86.7,22.4
2010,9,Sheohar,34.2,23.2,28.7,364.7,79.5,24.4
2010,9,Sitamarhi,30.0,27.6,28.8,390.9,77.2,24.7
2010,9,Madhubani,28.6,23.3,26.0,261.0,89.9,19.9
2010,9,Supaul,31.9,26.2,29.0,392.1,86.8,17.2
2010,9,Saharsa,30.1,22.6,26.4,311.1,77.7,17.6
2010,9,Madhepura,34.2,24.0,29.1,291.7,81.0,15.7
2010,9,Khagaria,30.5,24.4,27.5,373.9,79.9,18.8
2010,9,Begusarai,33.5,26.6,30.0,349.6,89.3,23.0
2010,9,Samastipur,30.9,26.9,28.9,277.2,79.2,18.0
2010,9,Vaishali,29.6,22.9,26.2,196.1,75.9,23.9
2010,9,Saran,34.5,25.5,30.0,360.1,77.8,24.0
2010,9,Siwan,31.5,22.4,27.0,185.3,79.6,15.4
2010,9,Gopalganj,30.2,22.4,26.3,209.0,79.0,24.9
2010,9,Rohtas,29.6,23.4,26.5,321.7,87.9,18.9
2010,9,Buxar,34.1,24.0,29.1,199.3,79.9,21.1
2010,9,Kaimur,30.6,26.0,28.3,209.2,85.5,18.5
2010,9,Bhojpur,31.2,25.3,28.3,321.6,78.6,23.4
2010,9,Arwal,33.1,23.4,28.2,393.7,85.0,19.5
2010,9,Jehanabad,29.1,25.2,27.2,191.2,81.4,19.1
2010,9,Aurangabad,33.0,23.2,28.1,355.5,79.9,19.4
2010,9,Nalanda,33.4,25.8,29.6,227.0,80.8,18.1
2010,9,Sheikhpura,32.2,24.0,28.1,331.4,83.7,16.5
2010,9,Lakhisarai,30.2,23.3,26.8,247.6,82.7,20.1
2010,9,Jamui,33.3,23.1,28.2,386.6,80.1,18.0
2010,9,Munger,32.8,26.8,29.8,244.6,86.2,23.8
2010,9,Banka,33.4,22.2,27.8,356.8,86.6,21.7
2010,9,Nawada,33.3,27.9,30.6,257.8,76.0,19.6
2010,9,Katihar,28.3,23.8,26.0,296.7,79.6,21.9
2010,10,Patna,39.9,22.2,31.0,73.0,57.0,23.4
2010,10,Gaya,39.9,21.2,30.6,30.9,62.6,23.1
2010,10,Bhagalpur,40.0,21.3,30.6,51.5,58.5,19.7
2010,10,Muzaffarpur,42.0,19.6,30.8,76.3,75.6,24.7
2010,10,Darbhanga,32.2,20.1,26.1,11.2,73.1,21.4
2010,10,Purnia,32.1,25.9,29.0,30.9,58.4,19.2
2010,10,Araria,31.1,20.6,25.9,36.0,76.3,22.9
2010,10,Kishanganj,35.3,25.2,30.3,49.8,63.5,22.3
2010,10,West Champaran,38.2,24.2,31.2,53.3,72.1,18.8
2010,10,East Champaran,40.4,19.6,30.0,71.9,63.6,16.3
2010,10,Sheohar,37.2,21.8,29.5,67.1,65.8,21.7
2010,10,Sitamarhi,33.7,20.1,26.9,37.2,70.2,21.6
2010,10,Madhubani,36.9,27.9,32.4,58.4,78.3,16.2
2010,10,Supaul,30.7,21.1,25.9,19.6,68.1,20.2
2010,10,Saharsa,36.9,25.5,31.2,78.0,77.0,16.2
2010,10,Madhepura,34.1,20.6,27.3,22.4,68.6,20.5
2010,10,Khagaria,32.7,25.1,28.9,61.3,55.5,19.0
2010,10,Begusarai,40.7,23.2,31.9,34.3,61.3,17.4
2010,10,Samastipur,31.2,26.2,28.7,16.1,62.3,15.5
2010,10,Vaishali,39.4,18.4,28.9,31.6,69.3,19.1
2010,10,Saran,33.4,20.8,27.1,65.8,79.3,18.5
2010,10,Siwan,30.5,18.4,24.4,63.1,68.8,22.8
2010,10,Gopalganj,38.4,27.1,32.7,72.0,74.7,19.8
2010,10,Rohtas,33.7,23.1,28.4,45.1,70.3,16.9
2010,10,Buxar,37.9,22.6,30.2,53.4,61.0,19.3
2010,10,Kaimur,32.5,26.8,29.6,44.2,60.6,15.4
2010,10,Bhojpur,38.1,20.1,29.1,79.3,68.3,17.9
2010,10,Arwal,37.9,20.8,29.3,67.4,62.7,24.9
2010,10,Jehanabad,37.3,26.4,31.9,15.1,63.7,22.4
2010,10,Aurangabad,37.9,19.9,28.9,34.9,61.6,21.1
2010,10,Nalanda,34.1,21.1,27.6,24.5,65.2,17.0
2010,10,Sheikhpura,41.6,19.5,30.5,73.9,65.7,18.8
2010,10,Lakhisarai,32.8,24.4,28.6,58.0,66.7,15.6
2010,10,Jamui,41.0,27.8,34.4,40.2,70.3,19.5
2010,10,Munger,33.9,18.8,26.3,41.9,75.5,15.2
2010,10,Banka,37.0,26.8,31.9,25.2,59.6,22.7
2010,10,Nawada,33.1,19.9,26.5,36.5,64.8,23.7
2010,10,Katihar,37.4,22.1,29.7,47.4,78.8,16.1
2010,11,Patna,32.5,27.6,30.1,77.0,59.4,16.5
2010,11,Gaya,35.1,18.5,26.8,55.8,56.9,15.6
2010,11,Bhagalpur,35.8,27.6,31.7,39.9,63.9,25.0
2010,11,Muzaffarpur,36.4,21.8,29.1,37.0,59.9,20.1
2010,11,Darbhanga,35.3,20.7,28.0,21.2,62.8,20.1
2010,11,Purnia,30.7,19.5,25.1,76.3,68.6,15.6
2010,11,Araria,38.3,18.6,28.5,61.7,73.7,21.5
2010,11,Kishanganj,38.8,18.9,28.8,60.9,58.4,18.4
2010,11,West Champaran,41.3,23.0,32.2,77.7,57.2,19.8
2010,11,East Champaran,30.7,24.3,27.5,15.5,59.4,17.6
2010,11,Sheohar,39.0,19.6,29.3,69.3,58.3,15.4
2010,11,Sitamarhi,34.7,27.8,31.3,17.7,57.5,22.5
2010,11,Madhubani,33.7,25.2,29.5,24.0,66.5,17.7
2010,11,Supaul,35.4,25.7,30.6,63.3,67.9,24.3
2010,11,Saharsa,33.2,20.4,26.8,53.0,70.5,15.5
2010,11,Madhepura,37.3,21.7,29.5,62.3,75.2,20.5
2010,11,Khagaria,30.0,24.4,27.2,62.4,61.2,19.6
