year,month,district,ndvi,lai,evi
2010,2,Sheohar,0.58,2.73,0.561
2010,2,Sitamarhi,0.457,1.96,0.336
2010,2,Madhubani,0.534,1.98,0.623
2010,2,Supaul,0.575,1.1,0.676
2010,2,Saharsa,0.569,2.38,0.558
2010,2,Madhepura,0.393,2.06,0.434
2010,2,Khagaria,0.497,2.38,0.386
2010,2,Begusarai,0.53,2.85,0.549
2010,2,Samastipur,0.574,2.1,0.842
2010,2,Vaishali,0.449,2.25,0.475
2010,2,Saran,0.553,1.08,0.641
2010,2,Siwan,0.314,2.67,0.433
2010,2,Gopalganj,0.58,2.54,0.727
2010,2,Rohtas,0.457,2.36,0.574
2010,2,Buxar,0.386,1.5,0.61
2010,2,Kaimur,0.419,1.8,0.571
2010,2,Bhojpur,0.586,2.04,0.636
2010,2,Arwal,0.496,1.79,0.427
2010,2,Jehanabad,0.548,2.33,0.775
2010,2,Aurangabad,0.391,1.13,0.407
2010,2,Nalanda,0.352,1.01,0.464
2010,2,Sheikhpura,0.471,2.32,0.674
2010,2,Lakhisarai,0.496,2.13,0.575
2010,2,Jamui,0.541,2.57,0.769
2010,2,Munger,0.36,1.91,0.466
2010,2,Banka,0.307,1.45,0.404
2010,2,Nawada,0.427,1.09,0.424
2010,2,Katihar,0.364,1.79,0.35
2010,3,Patna,0.444,0.87,0.678
2010,3,Gaya,0.445,1.09,0.742
2010,3,Bhagalpur,0.267,1.84,0.361
2010,3,Muzaffarpur,0.228,0.52,0.384
2010,3,Darbhanga,0.255,0.79,0.265
2010,3,Purnia,0.301,1.63,0.299
2010,3,Araria,0.413,0.66,0.518
2010,3,Kishanganj,0.271,0.61,0.284
2010,3,West Champaran,0.327,1.56,0.375
2010,3,East Champaran,0.258,1.14,0.117
2010,3,Sheohar,0.308,1.15,0.28
2010,3,Sitamarhi,0.228,0.89,0.266
2010,3,Madhubani,0.235,0.88,0.278
2010,3,Supaul,0.264,1.84,0.306
2010,3,Saharsa,0.457,0.95,0.609
2010,3,Madhepura,0.357,1.77,0.425
2010,3,Khagaria,0.448,1.91,0.521
2010,3,Begusarai,0.231,1.36,0.271
2010,3,Samastipur,0.359,0.95,0.514
2010,3,Vaishali,0.302,1.41,0.262
2010,3,Saran,0.414,1.15,0.532
2010,3,Siwan,0.228,1.74,0.243
2010,3,Gopalganj,0.451,1.36,0.397
2010,3,Rohtas,0.452,0.9,0.675
2010,3,Buxar,0.368,0.5,0.38
2010,3,Kaimur,0.254,1.24,0.473
2010,3,Bhojpur,0.437,1.41,0.644
2010,3,Arwal,0.294,1.79,0.362
2010,3,Jehanabad,0.332,0.5,0.457
2010,3,Aurangabad,0.345,1.18,0.451
2010,3,Nalanda,0.442,1.83,0.527
2010,3,Sheikhpura,0.378,1.73,0.463
2010,3,Lakhisarai,0.36,1.19,0.241
2010,3,Jamui,0.258,0.6,0.405
2010,3,Munger,0.383,1.07,0.432
2010,3,Banka,0.293,1.96,0.39
2010,3,Nawada,0.367,1.02,0.482
2010,3,Katihar,0.372,1.83,0.508
2010,4,Patna,0.228,1.09,0.23
2010,4,Gaya,0.478,0.73,0.694
2010,4,Bhagalpur,0.301,1.14,0.262
2010,4,Muzaffarpur,0.203,1.96,0.304
2010,4,Darbhanga,0.47,0.95,0.364
2010,4,Purnia,0.461,1.4,0.255
2010,4,Araria,0.448,1.87,0.366
2010,4,Kishanganj,0.35,1.78,0.472
2010,4,West Champaran,0.375,1.84,0.424
2010,4,East Champaran,0.334,1.52,0.483
2010,4,Sheohar,0.233,1.2,0.296
2010,4,Sitamarhi,0.483,0.71,0.564
2010,4,Madhubani,0.4,1.45,0.559
2010,4,Supaul,0.265,0.94,0.423
2010,4,Saharsa,0.25,1.88,0.343
2010,4,Madhepura,0.335,1.33,0.404
2010,4,Khagaria,0.437,1.7,0.448
2010,4,Begusarai,0.229,1.71,0.178
2010,4,Samastipur,0.438,0.62,0.492
2010,4,Vaishali,0.363,1.28,0.271
2010,4,Saran,0.495,1.65,0.56
2010,4,Siwan,0.304,0.97,0.3
2010,4,Gopalganj,0.436,1.04,0.842
2010,4,Rohtas,0.281,0.98,0.265
2010,4,Buxar,0.434,1.8,0.531
2010,4,Kaimur,0.39,1.61,0.424
2010,4,Bhojpur,0.408,1.82,0.471
2010,4,Arwal,0.435,1.77,0.45
2010,4,Jehanabad,0.279,1.38,0.369
2010,4,Aurangabad,0.419,0.83,0.472
2010,4,Nalanda,0.387,1.26,0.513
2010,4,Sheikhpura,0.244,1.2,0.264
2010,4,Lakhisarai,0.375,1.74,0.483
2010,4,Jamui,0.202,1.73,0.136
2010,4,Munger,0.27,1.58,0.269
2010,4,Banka,0.255,0.9,0.319
2010,4,Nawada,0.466,1.22,0.649
2010,4,Katihar,0.475,1.98,0.64
2010,5,Patna,0.229,0.74,0.324
2010,5,Gaya,0.307,1.39,0.32
2010,5,Bhagalpur,0.457,1.52,0.539
2010,5,Muzaffarpur,0.22,1.22,0.192
2010,5,Darbhanga,0.266,0.5,0.37
2010,5,Purnia,0.44,1.77,0.623
2010,5,Araria,0.494,0.73,0.669
2010,5,Kishanganj,0.286,1.09,0.431
2010,5,West Champaran,0.253,1.87,0.331
2010,5,East Champaran,0.353,0.85,0.517
2010,5,Sheohar,0.437,0.51,0.637
2010,5,Sitamarhi,0.386,1.45,0.451
2010,5,Madhubani,0.221,0.93,0.231
2010,5,Supaul,0.299,1.03,0.373
2010,5,Saharsa,0.35,1.04,0.623
2010,5,Madhepura,0.239,0.77,0.087
2010,5,Khagaria,0.45,1.19,0.451
2010,5,Begusarai,0.252,0.86,0.108
2010,5,Samastipur,0.355,1.04,0.307
2010,5,Vaishali,0.247,1.08,0.288
2010,5,Saran,0.314,1.82,0.382
2010,5,Siwan,0.416,1.9,0.557
2010,5,Gopalganj,0.275,0.97,0.346
2010,5,Rohtas,0.248,1.9,0.201
2010,5,Buxar,0.329,1.88,0.46
2010,5,Kaimur,0.394,1.1,0.375
2010,5,Bhojpur,0.47,1.15,0.422
2010,5,Arwal,0.309,1.42,0.343
2010,5,Jehanabad,0.354,1.45,0.342
2010,5,Aurangabad,0.294,1.62,0.389
2010,5,Nalanda,0.395,0.63,0.52
2010,5,Sheikhpura,0.459,1.51,0.53
2010,5,Lakhisarai,0.222,1.41,0.264
2010,5,Jamui,0.201,1.5,0.417
2010,5,Munger,0.446,1.38,0.484
2010,5,Banka,0.415,1.42,0.524
2010,5,Nawada,0.299,1.53,0.474
2010,5,Katihar,0.255,0.94,0.474
2010,6,Patna,0.497,1.15,0.562
2010,6,Gaya,0.283,1.95,0.221
2010,6,Bhagalpur,0.313,1.56,0.325
2010,6,Muzaffarpur,0.315,1.09,0.389
2010,6,Darbhanga,0.497,1.72,0.553
2010,6,Purnia,0.299,1.27,0.441
2010,6,Araria,0.389,1.59,0.486
2010,6,Kishanganj,0.207,1.69,0.265
2010,6,West Champaran,0.383,1.3,0.548
2010,6,East Champaran,0.364,0.74,0.466
2010,6,Sheohar,0.331,1.89,0.345
2010,6,Sitamarhi,0.414,0.88,0.552
2010,6,Madhubani,0.305,1.2,0.32
2010,6,Supaul,0.432,1.77,0.513
2010,6,Saharsa,0.359,0.76,0.378
2010,6,Madhepura,0.251,1.81,0.265
2010,6,Khagaria,0.344,0.67,0.726
2010,6,Begusarai,0.358,0.67,0.615
2010,6,Samastipur,0.491,0.63,0.558
2010,6,Vaishali,0.333,1.85,0.414
2010,6,Saran,0.431,1.0,0.393
2010,6,Siwan,0.487,1.56,0.603
2010,6,Gopalganj,0.312,0.98,0.449
2010,6,Rohtas,0.33,1.0,0.329
2010,6,Buxar,0.472,0.73,0.483
2010,6,Kaimur,0.278,1.38,0.207
2010,6,Bhojpur,0.38,0.58,0.422
2010,6,Arwal,0.221,0.69,0.225
2010,6,Jehanabad,0.272,1.02,0.263
2010,6,Aurangabad,0.401,0.59,0.547
2010,6,Nalanda,0.397,1.69,0.349
2010,6,Sheikhpura,0.299,1.71,0.404
2010,6,Lakhisarai,0.33,0.88,0.414
2010,6,Jamui,0.442,0.54,0.589
2010,6,Munger,0.302,1.19,0.235
2010,6,Banka,0.349,1.53,0.455
2010,6,Nawada,0.304,1.54,0.3
2010,6,Katihar,0.24,1.48,0.054
2010,7,Patna,0.667,5.49,1.003
2010,7,Gaya,0.874,3.5,1.228
2010,7,Bhagalpur,0.759,4.15,0.837
2010,7,Muzaffarpur,0.671,3.09,0.87
2010,7,Darbhanga,0.792,4.11,1.053
2010,7,Purnia,0.849,3.4,0.877
2010,7,Araria,0.876,3.1,1.123
2010,7,Kishanganj,0.738,5.78,0.885
2010,7,West Champaran,0.672,4.85,0.804
2010,7,East Champaran,0.761,5.4,1.028
2010,7,Sheohar,0.843,4.43,1.002
2010,7,Sitamarhi,0.803,3.1,1.077
2010,7,Madhubani,0.641,5.55,0.659
2010,7,Supaul,0.799,4.78,0.834
2010,7,Saharsa,0.625,5.3,0.852
2010,7,Madhepura,0.761,4.24,0.947
2010,7,Khagaria,0.711,3.01,0.72
2010,7,Begusarai,0.644,3.77,0.771
2010,7,Samastipur,0.873,4.56,1.05
2010,7,Vaishali,0.783,4.83,1.08
2010,7,Saran,0.609,4.34,0.728
2010,7,Siwan,0.731,4.58,0.989
2010,7,Gopalganj,0.714,4.55,0.855
2010,7,Rohtas,0.663,3.18,0.743
2010,7,Buxar,0.796,5.96,0.871
2010,7,Kaimur,0.748,3.15,0.983
2010,7,Bhojpur,0.76,3.3,1.007
2010,7,Arwal,0.762,5.85,0.826
2010,7,Jehanabad,0.717,3.01,0.865
2010,7,Aurangabad,0.826,5.37,0.956
2010,7,Nalanda,0.873,3.69,1.122
2010,7,Sheikhpura,0.851,4.23,1.075
2010,7,Lakhisarai,0.788,4.65,0.788
2010,7,Jamui,0.805,5.13,1.036
2010,7,Munger,0.659,4.33,0.945
2010,7,Banka,0.8,4.43,0.912
2010,7,Nawada,0.796,3.79,0.88
2010,7,Katihar,0.609,5.07,0.653
2010,8,Patna,0.896,3.93,1.092
2010,8,Gaya,0.667,3.04,0.869
2010,8,Bhagalpur,0.817,5.09,0.91
2010,8,Muzaffarpur,0.869,3.47,0.929
2010,8,Darbhanga,0.851,3.51,1.0
2010,8,Purnia,0.742,3.86,0.527
2010,8,Araria,0.676,5.2,0.885
2010,8,Kishanganj,0.854,5.51,0.875
2010,8,West Champaran,0.65,4.96,0.625
2010,8,East Champaran,0.717,3.86,0.934
2010,8,Sheohar,0.761,5.41,0.95
2010,8,Sitamarhi,0.745,5.87,0.957
2010,8,Madhubani,0.769,4.44,0.894
2010,8,Supaul,0.647,5.35,0.81
2010,8,Saharsa,0.861,3.22,0.991
2010,8,Madhepura,0.811,3.4,1.122
2010,8,Khagaria,0.892,5.64,1.16
2010,8,Begusarai,0.868,4.38,1.021
2010,8,Samastipur,0.884,5.93,1.047
2010,8,Vaishali,0.628,3.42,0.546
2010,8,Saran,0.892,5.21,1.22
2010,8,Siwan,0.655,4.66,0.689
2010,8,Gopalganj,0.663,3.48,0.813
2010,8,Rohtas,0.885,3.37,0.974
2010,8,Buxar,0.751,5.06,0.989
2010,8,Kaimur,0.65,3.07,0.779
2010,8,Bhojpur,0.715,4.67,0.787
2010,8,Arwal,0.841,3.57,0.958
2010,8,Jehanabad,0.733,5.86,0.874
2010,8,Aurangabad,0.708,4.56,1.094
2010,8,Nalanda,0.82,5.47,1.1
2010,8,Sheikhpura,0.627,3.04,0.812
2010,8,Lakhisarai,0.82,3.79,0.994
2010,8,Jamui,0.744,5.32,0.997
2010,8,Munger,0.822,5.11,1.003
2010,8,Banka,0.878,5.67,1.249
2010,8,Nawada,0.699,5.41,0.865
2010,8,Katihar,0.767,5.02,1.006
2010,9,Patna,0.649,3.26,0.808
2010,9,Gaya,0.637,4.25,0.89
2010,9,Bhagalpur,0.689,5.63,1.099
2010,9,Muzaffarpur,0.671,5.4,0.83
2010,9,Darbhanga,0.879,5.38,1.181
2010,9,Purnia,0.656,3.34,0.785
2010,9,Araria,0.731,3.54,0.932
2010,9,Kishanganj,0.721,5.6,0.711
2010,9,West Champaran,0.668,5.99,0.826
2010,9,East Champaran,0.64,4.74,0.544
2010,9,Sheohar,0.888,5.25,1.031
2010,9,Sitamarhi,0.728,3.29,0.716
2010,9,Madhubani,0.866,4.14,0.852
2010,9,Supaul,0.646,5.71,0.77
2010,9,Saharsa,0.611,4.2,0.642
2010,9,Madhepura,0.734,4.69,0.991
2010,9,Khagaria,0.899,5.27,0.986
2010,9,Begusarai,0.847,4.28,0.916
2010,9,Samastipur,0.711,5.84,0.855
2010,9,Vaishali,0.833,5.21,0.967
2010,9,Saran,0.71,4.61,0.854
2010,9,Siwan,0.777,5.62,0.914
2010,9,Gopalganj,0.663,5.48,0.89
2010,9,Rohtas,0.718,4.1,0.985
2010,9,Buxar,0.811,5.97,1.049
2010,9,Kaimur,0.776,5.6,0.914
2010,9,Bhojpur,0.665,5.29,0.832
2010,9,Arwal,0.835,3.91,1.037
2010,9,Jehanabad,0.757,3.9,0.778
2010,9,Aurangabad,0.685,5.08,0.72
2010,9,Nalanda,0.795,3.61,0.843
2010,9,Sheikhpura,0.661,5.24,0.894
2010,9,Lakhisarai,0.709,4.71,0.898
2010,9,Jamui,0.662,3.5,0.67
2010,9,Munger,0.716,5.37,0.851
2010,9,Banka,0.685,3.88,0.778
2010,9,Nawada,0.895,3.58,1.104
2010,9,Katihar,0.609,5.09,0.728
2010,10,Patna,0.711,5.72,0.833
2010,10,Gaya,0.666,4.28,0.876
2010,10,Bhagalpur,0.89,3.84,1.152
2010,10,Muzaffarpur,0.615,4.64,0.67
2010,10,Darbhanga,0.707,4.28,0.883
2010,10,Purnia,0.797,5.09,0.617
2010,10,Araria,0.893,5.29,0.98
2010,10,Kishanganj,0.635,3.18,0.921
2010,10,West Champaran,0.743,5.0,0.933
2010,10,East Champaran,0.715,4.88,0.871
2010,10,Sheohar,0.866,4.21,1.121
2010,10,Sitamarhi,0.765,5.4,0.914
2010,10,Madhubani,0.881,4.71,1.051
2010,10,Supaul,0.764,4.46,0.922
2010,10,Saharsa,0.854,3.82,1.216
2010,10,Madhepura,0.755,5.87,0.772
2010,10,Khagaria,0.888,3.24,1.245
2010,10,Begusarai,0.741,3.2,0.799
2010,10,Samastipur,0.659,3.52,0.993
2010,10,Vaishali,0.695,3.39,0.847
2010,10,Saran,0.84,5.58,0.95
2010,10,Siwan,0.625,3.68,0.587
2010,10,Gopalganj,0.83,4.1,1.054
2010,10,Rohtas,0.817,4.36,0.994
2010,10,Buxar,0.71,3.57,0.807
2010,10,Kaimur,0.618,3.31,0.772
2010,10,Bhojpur,0.673,4.88,0.739
2010,10,Arwal,0.683,3.4,0.865
2010,10,Jehanabad,0.635,4.7,0.789
2010,10,Aurangabad,0.84,4.52,1.069
2010,10,Nalanda,0.743,5.81,0.859
2010,10,Sheikhpura,0.7,3.28,1.015
2010,10,Lakhisarai,0.846,3.51,1.241
2010,10,Jamui,0.823,3.25,1.013
2010,10,Munger,0.603,5.12,0.593
2010,10,Banka,0.895,5.37,1.055
2010,10,Nawada,0.774,5.11,1.051
2010,10,Katihar,0.8,4.32,1.061
2010,11,Patna,0.462,1.57,0.349
2010,11,Gaya,0.386,2.57,0.292
2010,11,Bhagalpur,0.423,2.1,0.499
2010,11,Muzaffarpur,0.528,1.89,0.513
2010,11,Darbhanga,0.467,2.4,0.401
2010,11,Purnia,0.326,2.16,0.27
2010,11,Araria,0.512,2.16,0.516
2010,11,Kishanganj,0.348,1.09,0.328
2010,11,West Champaran,0.428,1.32,0.519
2010,11,East Champaran,0.322,2.79,0.389
2010,11,Sheohar,0.497,2.72,0.591
2010,11,Sitamarhi,0.366,2.83,0.444
2010,11,Madhubani,0.369,1.7,0.457
2010,11,Supaul,0.469,2.92,0.513
2010,11,Saharsa,0.568,2.01,0.541
2010,11,Madhepura,0.34,2.74,0.585
2010,11,Khagaria,0.465,1.85,0.578
2010,11,Begusarai,0.42,1.51,0.451
2010,11,Samastipur,0.563,1.37,0.82
2010,11,Vaishali,0.555,2.64,0.673
2010,11,Saran,0.569,1.28,0.65
2010,11,Siwan,0.584,1.85,0.681
2010,11,Gopalganj,0.395,1.33,0.509
2010,11,Rohtas,0.314,2.19,0.269
2010,11,Buxar,0.532,2.2,0.584
2010,11,Kaimur,0.323,2.44,0.464
2010,11,Bhojpur,0.548,2.0,0.641
2010,11,Arwal,0.36,1.95,0.562
2010,11,Jehanabad,0.365,1.94,0.406
2010,11,Aurangabad,0.565,1.23,0.642
2010,11,Nalanda,0.367,2.99,0.622
2010,11,Sheikhpura,0.553,2.05,0.825
2010,11,Lakhisarai,0.367,1.84,0.493
2010,11,Jamui,0.382,1.52,0.494
2010,11,Munger,0.398,2.19,0.534
2010,11,Banka,0.593,2.36,0.681
2010,11,Nawada,0.591,1.58,0.765
2010,11,Katihar,0.379,1.64,0.554
2010,12,Patna,0.447,2.58,0.569
2010,12,Gaya,0.516,1.53,0.711
2010,12,Bhagalpur,0.522,2.21,0.772
2010,12,Muzaffarpur,0.458,2.87,0.556
2010,12,Darbhanga,0.342,2.09,0.388
2010,12,Purnia,0.546,1.93,0.476
2010,12,Araria,0.468,2.85,0.542
2010,12,Kishanganj,0.518,1.49,0.568
2010,12,West Champaran,0.418,1.79,0.592
2010,12,East Champaran,0.595,2.21,0.735
2010,12,Sheohar,0.452,2.36,0.571
2010,12,Sitamarhi,0.521,1.98,0.831
2010,12,Madhubani,0.599,1.1,0.508
2010,12,Supaul,0.531,1.38,0.521
2010,12,Saharsa,0.43,2.4,0.614
2010,12,Madhepura,0.43,2.5,0.74
2010,12,Khagaria,0.494,2.75,0.527
2010,12,Begusarai,0.486,1.09,0.626
2010,12,Samastipur,0.416,1.82,0.471
2010,12,Vaishali,0.493,1.38,0.623
2010,12,Saran,0.585,2.06,0.796
2010,12,Siwan,0.391,2.8,0.604
2010,12,Gopalganj,0.488,2.02,0.684
2010,12,Rohtas,0.318,1.78,0.388
2010,12,Buxar,0.552,1.08,0.544
2010,12,Kaimur,0.361,2.22,0.604
2010,12,Bhojpur,0.549,1.93,0.614
2010,12,Arwal,0.594,1.22,0.632
2010,12,Jehanabad,0.348,2.98,0.454
2010,12,Aurangabad,0.345,1.48,0.48
2010,12,Nalanda,0.354,2.26,0.371
2010,12,Sheikhpura,0.387,2.72,0.453
2010,12,Lakhisarai,0.539,2.29,0.596
2010,12,Jamui,0.58,1.02,1.019
2010,12,Munger,0.467,2.58,0.542
2010,12,Banka,0.593,1.42,0.656
2010,12,Nawada,0.459,2.49,0.407
2010,12,Katihar,0.319,1.38,0.212
2011,1,Patna,0.564,2.64,0.585
2011,1,Gaya,0.432,1.69,0.367
2011,1,Bhagalpur,0.496,1.03,0.559
2011,1,Muzaffarpur,0.562,1.91,0.743
2011,1,Darbhanga,0.533,2.65,0.737
2011,1,Purnia,0.482,1.95,0.44
2011,1,Araria,0.441,1.61,0.577
2011,1,Kishanganj,0.31,2.87,0.184
2011,1,West Champaran,0.495,1.89,0.611
2011,1,East Champaran,0.305,2.36,0.309
2011,1,Sheohar,0.322,2.31,0.557
2011,1,Sitamarhi,0.342,1.23,0.311
2011,1,Madhubani,0.374,1.82,0.42
2011,1,Supaul,0.398,2.41,0.46
2011,1,Saharsa,0.475,2.93,0.381
2011,1,Madhepura,0.508,1.82,0.537
2011,1,Khagaria,0.485,2.89,0.153
2011,1,Begusarai,0.533,2.51,0.448
2011,1,Samastipur,0.455,1.13,0.542
2011,1,Vaishali,0.395,2.96,0.491
2011,1,Saran,0.562,1.66,0.785
2011,1,Siwan,0.4,1.5,0.384
2011,1,Gopalganj,0.594,2.13,0.792
2011,1,Rohtas,0.527,2.81,0.729
2011,1,Buxar,0.45,2.51,0.599
2011,1,Kaimur,0.329,1.25,0.426
2011,1,Bhojpur,0.348,1.29,0.549
2011,1,Arwal,0.335,1.63,0.394
2011,1,Jehanabad,0.348,1.13,0.46
2011,1,Aurangabad,0.518,2.85,0.571
2011,1,Nalanda,0.366,1.83,0.336
2011,1,Sheikhpura,0.496,1.33,0.508
2011,1,Lakhisarai,0.439,2.29,0.489
2011,1,Jamui,0.59,2.59,0.65
2011,1,Munger,0.503,2.71,0.602
2011,1,Banka,0.471,1.23,0.444
2011,1,Nawada,0.322,2.66,0.408
2011,1,Katihar,0.369,2.29,0.441
2011,2,Patna,0.541,2.75,0.554
2011,2,Gaya,0.368,2.33,0.381
2011,2,Bhagalpur,0.457,2.2,0.542
2011,2,Muzaffarpur,0.393,2.73,0.446
2011,2,Darbhanga,0.533,1.86,0.592
2011,2,Purnia,0.491,1.19,0.603
2011,2,Araria,0.514,2.15,0.523
2011,2,Kishanganj,0.327,1.65,0.248
2011,2,West Champaran,0.59,1.97,0.935
2011,2,East Champaran,0.445,1.71,0.489
2011,2,Sheohar,0.342,2.26,0.434
2011,2,Sitamarhi,0.301,1.13,0.375
2011,2,Madhubani,0.57,2.26,0.676
2011,2,Supaul,0.425,1.69,0.565
2011,2,Saharsa,0.343,1.76,0.412
2011,2,Madhepura,0.554,1.64,0.631
2011,2,Khagaria,0.328,2.95,0.402
2011,2,Begusarai,0.543,1.5,0.543
2011,2,Samastipur,0.552,2.11,0.748
2011,2,Vaishali,0.487,2.23,0.545
2011,2,Saran,0.451,1.55,0.486
2011,2,Siwan,0.373,1.56,0.422
2011,2,Gopalganj,0.318,1.22,0.471
2011,2,Rohtas,0.355,2.04,0.31
2011,2,Buxar,0.452,2.67,0.617
2011,2,Kaimur,0.488,1.05,0.606
2011,2,Bhojpur,0.414,2.4,0.242
2011,2,Arwal,0.501,1.57,0.523
2011,2,Jehanabad,0.573,1.83,0.69
2011,2,Aurangabad,0.536,2.06,0.644
2011,2,Nalanda,0.558,2.12,0.774
2011,2,Sheikhpura,0.308,1.81,0.353
2011,2,Lakhisarai,0.403,2.43,0.411
2011,2,Jamui,0.594,1.42,0.685
2011,2,Munger,0.405,1.41,0.599
2011,2,Banka,0.558,1.62,0.735
2011,2,Nawada,0.457,2.33,0.691
2011,2,Katihar,0.531,1.19,0.722
2011,3,Patna,0.25,1.6,0.04
2011,3,Gaya,0.337,1.06,0.321
2011,3,Bhagalpur,0.377,0.98,0.335
2011,3,Muzaffarpur,0.427,1.67,0.567
2011,3,Darbhanga,0.374,1.05,0.49
2011,3,Purnia,0.321,1.99,0.466
2011,3,Araria,0.372,1.5,0.328
2011,3,Kishanganj,0.346,0.82,0.481
2011,3,West Champaran,0.353,0.55,0.272
2011,3,East Champaran,0.287,0.62,0.206
2011,3,Sheohar,0.431,1.13,0.56
2011,3,Sitamarhi,0.264,1.13,0.357
2011,3,Madhubani,0.416,1.25,0.522
2011,3,Supaul,0.389,1.68,0.578
2011,3,Saharsa,0.237,1.38,0.263
2011,3,Madhepura,0.264,1.35,0.28
2011,3,Khagaria,0.453,0.7,0.49
2011,3,Begusarai,0.257,1.88,0.349
2011,3,Samastipur,0.203,0.8,0.173
2011,3,Vaishali,0.309,0.65,0.279
2011,3,Saran,0.341,1.1,0.504
2011,3,Siwan,0.289,1.32,0.38
2011,3,Gopalganj,0.311,0.56,0.42
2011,3,Rohtas,0.201,0.87,0.352
2011,3,Buxar,0.293,1.72,0.295
2011,3,Kaimur,0.247,1.08,0.438
2011,3,Bhojpur,0.443,1.18,0.441
2011,3,Arwal,0.424,0.92,0.465
2011,3,Jehanabad,0.463,1.43,0.712
2011,3,Aurangabad,0.289,0.71,0.195
2011,3,Nalanda,0.489,1.34,0.538
2011,3,Sheikhpura,0.217,0.87,0.191
2011,3,Lakhisarai,0.405,1.73,0.517
2011,3,Jamui,0.213,0.64,0.04
2011,3,Munger,0.366,1.76,0.422
2011,3,Banka,0.491,1.61,0.507
2011,3,Nawada,0.259,0.93,0.111
2011,3,Katihar,0.347,0.85,0.335
2011,4,Patna,0.401,0.85,0.314
2011,4,Gaya,0.275,1.54,0.45
2011,4,Bhagalpur,0.49,1.8,0.578
2011,4,Muzaffarpur,0.408,1.34,0.405
2011,4,Darbhanga,0.418,1.96,0.62
2011,4,Purnia,0.228,1.8,0.205
2011,4,Araria,0.434,1.28,0.573
2011,4,Kishanganj,0.366,1.92,0.54
2011,4,West Champaran,0.239,1.99,0.28
2011,4,East Champaran,0.269,0.91,0.202
2011,4,Sheohar,0.39,0.55,0.457
2011,4,Sitamarhi,0.282,1.8,0.36
2011,4,Madhubani,0.429,1.51,0.557
2011,4,Supaul,0.308,1.99,0.315
2011,4,Saharsa,0.401,1.75,0.544
2011,4,Madhepura,0.415,1.4,0.651
2011,4,Khagaria,0.215,1.02,0.373
2011,4,Begusarai,0.373,1.42,0.349
2011,4,Samastipur,0.454,1.29,0.611
2011,4,Vaishali,0.245,0.62,0.166
2011,4,Saran,0.491,2.0,0.508
2011,4,Siwan,0.446,1.31,0.564
2011,4,Gopalganj,0.255,1.36,0.251
2011,4,Rohtas,0.326,1.09,0.465
2011,4,Buxar,0.458,1.03,0.528
2011,4,Kaimur,0.201,1.28,0.287
2011,4,Bhojpur,0.439,0.9,0.402
2011,4,Arwal,0.298,1.64,0.334
2011,4,Jehanabad,0.328,1.17,0.461
2011,4,Aurangabad,0.256,1.12,0.381
2011,4,Nalanda,0.455,1.19,0.419
2011,4,Sheikhpura,0.218,0.75,0.367
2011,4,Lakhisarai,0.321,1.03,0.396
2011,4,Jamui,0.388,1.53,0.561
2011,4,Munger,0.359,1.65,0.369
2011,4,Banka,0.225,1.98,0.389
2011,4,Nawada,0.393,1.56,0.533
2011,4,Katihar,0.341,1.98,0.549
