year,district,crop,season,area_hectares,production_tonnes,yield_kg_per_hectare
2010,Sitamarhi,sugarcane,rabi,1699.61,80498.54,47362.9
2010,Sitamarhi,jute,kharif,2463.55,4455.15,1808.42
2010,Madhubani,rice,kharif,8579.07,18950.08,2208.87
2010,Madhubani,wheat,rabi,8782.5,23162.3,2637.32
2010,Madhubani,maize,kharif,6455.57,24351.74,3772.21
2010,Madhubani,sugarcane,rabi,7044.16,255716.34,36301.9
2010,Madhubani,jute,kharif,4631.35,10871.78,2347.43
2010,Supaul,rice,kharif,1130.9,2570.29,2272.78
2010,Supaul,wheat,rabi,8052.88,20213.58,2510.11
2010,Supaul,maize,kharif,9820.29,28594.92,2911.82
2010,Supaul,sugarcane,rabi,4111.01,197770.65,48107.61
2010,Supaul,jute,kharif,1367.82,2328.66,1702.46
2010,Saharsa,rice,kharif,7213.55,15120.29,2096.1
2010,Saharsa,wheat,rabi,7734.34,24060.05,3110.81
2010,Saharsa,maize,kharif,7727.24,25900.76,3351.88
2010,Saharsa,sugarcane,rabi,5026.71,294589.02,58604.72
2010,Saharsa,jute,kharif,9014.75,13600.99,1508.75
2010,Madhepura,rice,kharif,5833.96,10138.63,1737.86
2010,Madhepura,wheat,rabi,6137.0,20868.6,3400.45
2010,Madhepura,maize,kharif,3565.86,12034.44,3374.91
2010,Madhepura,sugarcane,rabi,8789.56,493590.37,56156.41
2010,Madhepura,jute,kharif,6010.87,11218.33,1866.34
2010,Khagaria,rice,kharif,3181.69,5950.96,1870.38
2010,Khagaria,wheat,rabi,5330.26,15124.36,2837.45
2010,Khagaria,maize,kharif,7133.52,20855.15,2923.54
2010,Khagaria,sugarcane,rabi,9365.76,321039.57,34278.0
2010,Khagaria,jute,kharif,8157.41,14371.02,1761.71
2010,Begusarai,rice,kharif,5707.59,13483.81,2362.44
2010,Begusarai,wheat,rabi,3712.4,10911.24,2939.13
2010,Begusarai,maize,kharif,5891.98,23716.99,4025.3
2010,Begusarai,sugarcane,rabi,5801.15,335308.36,57800.33
2010,Begusarai,jute,kharif,7695.52,11899.78,1546.33
2010,Samastipur,rice,kharif,8618.07,16854.0,1955.66
2010,Samastipur,wheat,rabi,7500.27,20610.78,2748.0
2010,Samastipur,maize,kharif,9176.06,30420.96,3315.25
2010,Samastipur,sugarcane,rabi,6276.07,298596.52,47577.0
2010,Samastipur,jute,kharif,2372.85,4718.52,1988.55
2010,Vaishali,rice,kharif,9330.12,23673.25,2537.29
2010,Vaishali,wheat,rabi,4016.78,10574.7,2632.63
2010,Vaishali,maize,kharif,4122.58,11160.78,2707.23
2010,Vaishali,sugarcane,rabi,4770.33,196597.3,41212.52
2010,Vaishali,jute,kharif,6971.84,11722.25,1681.37
2010,Saran,rice,kharif,9082.49,17796.59,1959.44
2010,Saran,wheat,rabi,1591.38,4689.67,2946.92
2010,Saran,maize,kharif,2637.35,5768.65,2187.29
2010,Saran,sugarcane,rabi,2405.37,89512.42,37213.53
2010,Saran,jute,kharif,3143.65,5659.19,1800.2
2010,Siwan,rice,kharif,4574.65,11553.36,2525.52
2010,Siwan,wheat,rabi,9034.05,28961.92,3205.86
2010,Siwan,maize,kharif,3412.57,13738.27,4025.78
2010,Siwan,sugarcane,rabi,2261.02,143536.08,63482.93
2010,Siwan,jute,kharif,1202.22,2141.95,1781.65
2010,Gopalganj,rice,kharif,5731.21,14845.05,2590.21
2010,Gopalganj,wheat,rabi,5987.6,16197.54,2705.18
2010,Gopalganj,maize,kharif,9229.71,30011.11,3251.58
2010,Gopalganj,sugarcane,rabi,7642.3,316787.59,41451.85
2010,Gopalganj,jute,kharif,3674.1,6505.72,1770.7
2010,Rohtas,rice,kharif,2934.46,6057.61,2064.3
2010,Rohtas,wheat,rabi,1676.24,4613.03,2752.01
2010,Rohtas,maize,kharif,8371.92,32551.32,3888.15
2010,Rohtas,sugarcane,rabi,2231.37,102597.54,45979.67
2010,Rohtas,jute,kharif,7590.02,13500.21,1778.68
2010,Buxar,rice,kharif,9889.01,20950.79,2118.59
2010,Buxar,wheat,rabi,1305.51,4730.34,3623.36
2010,Buxar,maize,kharif,8460.24,27877.27,3295.09
2010,Buxar,sugarcane,rabi,7266.6,298884.78,41131.32
2010,Buxar,jute,kharif,6633.02,12651.64,1907.37
2010,Kaimur,rice,kharif,8189.05,20753.29,2534.27
2010,Kaimur,wheat,rabi,7638.24,26439.36,3461.45
2010,Kaimur,maize,kharif,3102.47,9866.78,3180.3
2010,Kaimur,sugarcane,rabi,5206.61,259709.65,49880.72
2010,Kaimur,jute,kharif,5614.2,10860.29,1934.43
2010,Bhojpur,rice,kharif,9721.92,17475.62,1797.55
2010,Bhojpur,wheat,rabi,3019.97,11732.6,3885.01
2010,Bhojpur,maize,kharif,9600.86,44158.0,4599.38
2010,Bhojpur,sugarcane,rabi,4676.08,217624.56,46539.97
2010,Bhojpur,jute,kharif,5456.32,10387.9,1903.83
2010,Arwal,rice,kharif,6091.59,14404.4,2364.64
2010,Arwal,wheat,rabi,7121.27,22338.51,3136.87
2010,Arwal,maize,kharif,7691.57,27486.02,3573.52
2010,Arwal,sugarcane,rabi,3338.23,196177.79,58766.97
2010,Arwal,jute,kharif,5871.4,11604.24,1976.4
2010,Jehanabad,rice,kharif,7373.55,15121.05,2050.71
2010,Jehanabad,wheat,rabi,8843.83,23862.12,2698.17
2010,Jehanabad,maize,kharif,9974.12,38360.37,3845.99
2010,Jehanabad,sugarcane,rabi,2986.93,164092.42,54936.88
2010,Jehanabad,jute,kharif,6746.73,12493.83,1851.83
2010,Aurangabad,rice,kharif,3069.59,7483.43,2437.93
2010,Aurangabad,wheat,rabi,8603.05,33083.01,3845.5
2010,Aurangabad,maize,kharif,5333.7,23416.67,4390.32
2010,Aurangabad,sugarcane,rabi,8178.03,316863.12,38745.64
2010,Aurangabad,jute,kharif,3624.96,5363.2,1479.52
2010,Nalanda,rice,kharif,7322.18,17871.36,2440.71
2010,Nalanda,wheat,rabi,4155.64,10951.31,2635.29
2010,Nalanda,maize,kharif,1941.11,7372.73,3798.2
2010,Nalanda,sugarcane,rabi,8838.72,468037.61,52953.09
2010,Nalanda,jute,kharif,6792.2,13374.07,1969.03
2010,Sheikhpura,rice,kharif,2972.93,7400.52,2489.3
2010,Sheikhpura,wheat,rabi,9967.01,26464.33,2655.19
2010,Sheikhpura,maize,kharif,1275.87,3945.84,3092.66
2010,Sheikhpura,sugarcane,rabi,4339.35,219602.25,50607.19
2010,Sheikhpura,jute,kharif,8860.81,15278.2,1724.24
2010,Lakhisarai,rice,kharif,2184.11,5060.39,2316.91
2010,Lakhisarai,wheat,rabi,2628.79,9730.88,3701.65
2010,Lakhisarai,maize,kharif,6336.56,22561.01,3560.45
2010,Lakhisarai,sugarcane,rabi,2177.86,99868.36,45856.13
2010,Lakhisarai,jute,kharif,3238.43,6182.23,1909.02
2010,Jamui,rice,kharif,7627.62,13799.72,1809.18
2010,Jamui,wheat,rabi,2007.28,6891.07,3433.05
2010,Jamui,maize,kharif,2098.99,6304.27,3003.48
2010,Jamui,sugarcane,rabi,5640.36,214260.56,37987.01
2010,Jamui,jute,kharif,7060.89,10569.92,1496.97
2010,Munger,rice,kharif,7149.23,16815.36,2352.05
2010,Munger,wheat,rabi,9378.54,31206.77,3327.47
2010,Munger,maize,kharif,6920.61,22922.86,3312.26
2010,Munger,sugarcane,rabi,7646.04,399874.21,52298.19
2010,Munger,jute,kharif,4920.25,10128.02,2058.44
2010,Banka,rice,kharif,4298.15,9529.36,2217.08
2010,Banka,wheat,rabi,1658.76,4265.29,2571.37
2010,Banka,maize,kharif,8770.0,33002.7,3763.13
2010,Banka,sugarcane,rabi,7883.95,329231.72,41759.75
2010,Banka,jute,kharif,9343.31,15887.49,1700.41
2010,Nawada,rice,kharif,5852.45,13083.13,2235.5
2010,Nawada,wheat,rabi,2096.97,6910.17,3295.3
2010,Nawada,maize,kharif,3309.07,11957.9,3613.68
2010,Nawada,sugarcane,rabi,6698.36,293271.14,43782.51
2010,Nawada,jute,kharif,4699.26,8228.99,1751.13
2010,Katihar,rice,kharif,4813.64,10915.0,2267.51
2010,Katihar,wheat,rabi,8765.17,29779.52,3397.48
2010,Katihar,maize,kharif,5920.28,21069.39,3558.85
2010,Katihar,sugarcane,rabi,7458.38,464780.47,62316.55
2010,Katihar,jute,kharif,9047.72,14019.57,1549.51
2011,Patna,rice,kharif,8203.21,15098.66,1840.58
2011,Patna,wheat,rabi,3919.0,12682.64,3236.19
2011,Patna,maize,kharif,9618.63,41462.52,4310.65
2011,Patna,sugarcane,rabi,5053.34,227371.75,44994.36
2011,Patna,jute,kharif,9343.01,17808.29,1906.05
2011,Gaya,rice,kharif,7797.43,14826.36,1901.44
2011,Gaya,wheat,rabi,9432.62,25418.22,2694.71
2011,Gaya,maize,kharif,5641.11,21843.4,3872.18
2011,Gaya,sugarcane,rabi,8253.33,455394.9,55177.12
2011,Gaya,jute,kharif,7254.56,11202.97,1544.27
2011,Bhagalpur,rice,kharif,7883.29,18211.04,2310.08
2011,Bhagalpur,wheat,rabi,1613.55,4849.2,3005.3
2011,Bhagalpur,maize,kharif,1950.98,6750.26,3459.93
2011,Bhagalpur,sugarcane,rabi,1552.15,81721.91,52650.9
2011,Bhagalpur,jute,kharif,1560.63,2861.48,1833.55
2011,Muzaffarpur,rice,kharif,6615.06,13530.3,2045.38
2011,Muzaffarpur,wheat,rabi,7602.53,28715.41,3777.09
2011,Muzaffarpur,maize,kharif,2936.82,7421.41,2527.03
2011,Muzaffarpur,sugarcane,rabi,5394.17,212569.82,39407.33
2011,Muzaffarpur,jute,kharif,4550.29,9145.52,2009.88
2011,Darbhanga,rice,kharif,8567.84,20094.35,2345.32
2011,Darbhanga,wheat,rabi,6525.4,26144.64,4006.59
2011,Darbhanga,maize,kharif,1763.13,5686.28,3225.11
2011,Darbhanga,sugarcane,rabi,7971.88,325219.82,40795.87
2011,Darbhanga,jute,kharif,4437.46,9108.54,2052.65
2011,Purnia,rice,kharif,5772.72,12521.83,2169.14
2011,Purnia,wheat,rabi,6908.31,25964.49,3758.44
2011,Purnia,maize,kharif,6516.46,20548.96,3153.4
2011,Purnia,sugarcane,rabi,8618.63,523468.64,60736.88
2011,Purnia,jute,kharif,7556.42,17260.94,2284.28
2011,Araria,rice,kharif,2921.6,7576.53,2593.28
2011,Araria,wheat,rabi,5575.24,20276.82,3636.94
2011,Araria,maize,kharif,5154.02,17858.09,3464.89
2011,Araria,sugarcane,rabi,7597.64,363003.57,47778.45
2011,Araria,jute,kharif,1317.8,2567.14,1948.05
2011,Kishanganj,rice,kharif,2339.99,4960.52,2119.89
2011,Kishanganj,wheat,rabi,4713.6,13686.63,2903.65
2011,Kishanganj,maize,kharif,1583.68,6712.72,4238.68
2011,Kishanganj,sugarcane,rabi,8425.44,446994.72,53052.95
2011,Kishanganj,jute,kharif,7369.13,14062.14,1908.25
2011,West Champaran,rice,kharif,2985.51,5890.81,1973.14
2011,West Champaran,wheat,rabi,8070.86,30520.42,3781.56
2011,West Champaran,maize,kharif,4260.12,13118.69,3079.42
2011,West Champaran,sugarcane,rabi,4866.91,235014.63,48288.25
2011,West Champaran,jute,kharif,7565.57,13529.35,1788.28
2011,East Champaran,rice,kharif,6912.6,19274.35,2788.29
2011,East Champaran,wheat,rabi,7834.58,22318.91,2848.77
2011,East Champaran,maize,kharif,1563.88,4630.29,2960.77
2011,East Champaran,sugarcane,rabi,1470.32,80941.6,55050.29
2011,East Champaran,jute,kharif,6087.97,9058.04,1487.86
2011,Sheohar,rice,kharif,6051.01,15566.35,2572.52
2011,Sheohar,wheat,rabi,7370.52,17870.66,2424.61
2011,Sheohar,maize,kharif,4705.89,14503.33,3081.95
2011,Sheohar,sugarcane,rabi,5133.16,282260.07,54987.6
2011,Sheohar,jute,kharif,8900.47,14972.98,1682.27
2011,Sitamarhi,rice,kharif,5480.31,14208.07,2592.57
2011,Sitamarhi,wheat,rabi,8135.69,21891.78,2690.83
2011,Sitamarhi,maize,kharif,5797.26,26018.03,4487.99
2011,Sitamarhi,sugarcane,rabi,9045.91,458518.66,50687.97
2011,Sitamarhi,jute,kharif,8941.75,13023.43,1456.47
2011,Madhubani,rice,kharif,4847.41,12091.05,2494.33
2011,Madhubani,wheat,rabi,7583.47,23351.58,3079.27
2011,Madhubani,maize,kharif,8394.73,30133.53,3589.58
2011,Madhubani,sugarcane,rabi,2563.85,140091.96,54641.15
2011,Madhubani,jute,kharif,7739.44,13474.6,1741.03
2011,Supaul,rice,kharif,9811.94,19899.89,2028.13
2011,Supaul,wheat,rabi,8701.64,25402.96,2919.33
2011,Supaul,maize,kharif,5613.89,19959.49,3555.37
2011,Supaul,sugarcane,rabi,6984.86,388913.48,55679.46
2011,Supaul,jute,kharif,5023.5,9390.34,1869.28
2011,Saharsa,rice,kharif,9262.69,24403.7,2634.62
2011,Saharsa,wheat,rabi,8244.16,29844.82,3620.12
2011,Saharsa,maize,kharif,3177.04,9312.69,2931.24
2011,Saharsa,sugarcane,rabi,3699.27,190069.89,51380.35
2011,Saharsa,jute,kharif,8482.36,13547.19,1597.1
2011,Madhepura,rice,kharif,6145.95,16898.63,2749.56
2011,Madhepura,wheat,rabi,4990.42,18704.71,3748.12
2011,Madhepura,maize,kharif,5611.27,21123.49,3764.47
2011,Madhepura,sugarcane,rabi,5556.39,293713.76,52860.49
2011,Madhepura,jute,kharif,1410.84,2275.13,1612.61
2011,Khagaria,rice,kharif,5649.15,11056.67,1957.23
2011,Khagaria,wheat,rabi,3641.4,11048.43,3034.12
2011,Khagaria,maize,kharif,8868.0,32342.93,3647.15
2011,Khagaria,sugarcane,rabi,4699.19,212414.17,45202.3
2011,Khagaria,jute,kharif,1535.72,2497.0,1625.95
2011,Begusarai,rice,kharif,4321.48,9650.25,2233.09
2011,Begusarai,wheat,rabi,7017.15,22216.33,3166.0
2011,Begusarai,maize,kharif,9219.58,39586.78,4293.77
2011,Begusarai,sugarcane,rabi,4798.31,214028.75,44605.04
2011,Begusarai,jute,kharif,6027.78,9842.79,1632.91
2011,Samastipur,rice,kharif,3478.43,9110.5,2619.14
2011,Samastipur,wheat,rabi,8718.06,33095.06,3796.15
2011,Samastipur,maize,kharif,7195.65,29600.21,4113.63
2011,Samastipur,sugarcane,rabi,4112.9,202467.09,49227.37
2011,Samastipur,jute,kharif,6452.01,10672.65,1654.16
2011,Vaishali,rice,kharif,2264.98,4951.9,2186.29
2011,Vaishali,wheat,rabi,4491.88,12047.86,2682.14
2011,Vaishali,maize,kharif,9603.27,35702.14,3717.71
2011,Vaishali,sugarcane,rabi,4063.48,205244.55,50509.5
2011,Vaishali,jute,kharif,8502.85,19870.78,2336.96
2011,Saran,rice,kharif,9697.76,16861.24,1738.67
2011,Saran,wheat,rabi,6636.11,16071.88,2421.88
2011,Saran,maize,kharif,1355.14,5249.35,3873.67
2011,Saran,sugarcane,rabi,8829.72,460703.29,52176.42
2011,Saran,jute,kharif,2339.16,5093.81,2177.62
2011,Siwan,rice,kharif,4377.97,9699.01,2215.41
2011,Siwan,wheat,rabi,8790.19,26147.5,2974.62
2011,Siwan,maize,kharif,9604.42,36010.4,3749.36
2011,Siwan,sugarcane,rabi,9337.44,548296.92,58720.24
2011,Siwan,jute,kharif,2209.92,4607.94,2085.12
2011,Gopalganj,rice,kharif,1128.84,2156.44,1910.32
2011,Gopalganj,wheat,rabi,7920.31,28712.82,3625.22
2011,Gopalganj,maize,kharif,4667.89,15063.22,3226.99
2011,Gopalganj,sugarcane,rabi,9529.19,476990.46,50055.71
2011,Gopalganj,jute,kharif,1656.12,2761.25,1667.31
2011,Rohtas,rice,kharif,9363.05,24755.52,2643.96
2011,Rohtas,wheat,rabi,6431.44,22517.53,3501.17
2011,Rohtas,maize,kharif,6623.05,20524.46,3098.94
2011,Rohtas,sugarcane,rabi,5681.53,258585.77,45513.41
2011,Rohtas,jute,kharif,2204.46,3211.56,1456.85
2011,Buxar,rice,kharif,3485.53,6404.69,1837.51
2011,Buxar,wheat,rabi,1917.03,5463.76,2850.11
2011,Buxar,maize,kharif,9189.49,30256.01,3292.46
2011,Buxar,sugarcane,rabi,4488.84,231749.33,51627.9
2011,Buxar,jute,kharif,1948.28,3368.57,1728.99
2011,Kaimur,rice,kharif,5503.61,14224.38,2584.55
2011,Kaimur,wheat,rabi,4748.54,12091.2,2546.3
2011,Kaimur,maize,kharif,8921.41,32509.06,3643.94
2011,Kaimur,sugarcane,rabi,3840.65,225566.95,58731.51
2011,Kaimur,jute,kharif,3586.69,7709.4,2149.45
2011,Bhojpur,rice,kharif,4411.85,8000.97,1813.52
2011,Bhojpur,wheat,rabi,6356.19,19563.92,3077.94
2011,Bhojpur,maize,kharif,7956.29,30666.56,3854.38
2011,Bhojpur,sugarcane,rabi,3390.25,162210.53,47846.25
2011,Bhojpur,jute,kharif,1212.35,2479.17,2044.92
2011,Arwal,rice,kharif,3726.24,8103.41,2174.69
2011,Arwal,wheat,rabi,1680.45,4929.44,2933.42
2011,Arwal,maize,kharif,8031.9,27497.44,3423.53
2011,Arwal,sugarcane,rabi,4106.73,215726.67,52530.04
2011,Arwal,jute,kharif,1559.83,3008.24,1928.57
2011,Jehanabad,rice,kharif,3472.33,6254.16,1801.14
2011,Jehanabad,wheat,rabi,2491.75,6593.88,2646.29
2011,Jehanabad,maize,kharif,6342.05,21019.92,3314.37
2011,Jehanabad,sugarcane,rabi,2455.04,139156.54,56681.92
2011,Jehanabad,jute,kharif,7944.64,13618.81,1714.21
2011,Aurangabad,rice,kharif,8632.38,19028.39,2204.3
2011,Aurangabad,wheat,rabi,3599.96,10250.08,2847.27
2011,Aurangabad,maize,kharif,7788.38,26221.03,3366.68
2011,Aurangabad,sugarcane,rabi,3163.59,181034.63,57224.42
2011,Aurangabad,jute,kharif,6234.6,13669.42,2192.51
2011,Nalanda,rice,kharif,9518.11,28037.08,2945.66
2011,Nalanda,wheat,rabi,2842.12,8698.58,3060.59
2011,Nalanda,maize,kharif,8522.43,36454.51,4277.48
2011,Nalanda,sugarcane,rabi,8882.95,429859.04,48391.49
2011,Nalanda,jute,kharif,4749.09,7588.81,1597.95
2011,Sheikhpura,rice,kharif,1013.26,1987.52,1961.5
2011,Sheikhpura,wheat,rabi,7413.59,19258.51,2597.73
2011,Sheikhpura,maize,kharif,9863.73,40285.58,4084.22
2011,Sheikhpura,sugarcane,rabi,2505.89,148361.73,59205.16
2011,Sheikhpura,jute,kharif,7429.82,11149.31,1500.62
2011,Lakhisarai,rice,kharif,7274.88,17218.14,2366.79
2011,Lakhisarai,wheat,rabi,8755.22,28245.79,3226.17
2011,Lakhisarai,maize,kharif,6058.66,21522.62,3552.38
2011,Lakhisarai,sugarcane,rabi,7610.0,364813.35,47938.71
2011,Lakhisarai,jute,kharif,9703.32,19308.61,1989.9
2011,Jamui,rice,kharif,8200.03,17414.11,2123.66
2011,Jamui,wheat,rabi,8170.13,30022.81,3674.7
2011,Jamui,maize,kharif,1109.41,3731.11,3363.15
2011,Jamui,sugarcane,rabi,4006.45,218091.2,54435.03
2011,Jamui,jute,kharif,3992.11,6603.88,1654.23
2011,Munger,rice,kharif,4765.0,9542.23,2002.57
2011,Munger,wheat,rabi,9823.32,28750.67,2926.78
2011,Munger,maize,kharif,4118.72,13916.21,3378.77
2011,Munger,sugarcane,rabi,3587.15,166157.81,46320.22
2011,Munger,jute,kharif,6612.84,11873.89,1795.58
2011,Banka,rice,kharif,6490.07,15010.6,2312.86
2011,Banka,wheat,rabi,6288.27,16144.57,2567.41
2011,Banka,maize,kharif,3277.91,13529.74,4127.55
2011,Banka,sugarcane,rabi,1917.04,106013.03,55300.44
2011,Banka,jute,kharif,4906.19,9768.01,1990.96
2011,Nawada,rice,kharif,1822.52,4159.07,2282.04
2011,Nawada,wheat,rabi,3228.04,9693.87,3003.02
2011,Nawada,maize,kharif,8546.43,37160.69,4348.1
2011,Nawada,sugarcane,rabi,6551.05,302074.4,46110.82
2011,Nawada,jute,kharif,5844.99,11572.84,1979.96
2011,Katihar,rice,kharif,5089.11,12108.85,2379.37
2011,Katihar,wheat,rabi,1576.06,5985.61,3797.84
2011,Katihar,maize,kharif,5523.68,20264.33,3668.63
2011,Katihar,sugarcane,rabi,2444.16,127942.02,52345.93
2011,Katihar,jute,kharif,3602.69,6281.85,1743.66
2012,Patna,rice,kharif,8103.64,18182.75,2243.78
2012,Patna,wheat,rabi,5550.71,17830.38,3212.27
2012,Patna,maize,kharif,8541.18,33074.68,3872.38
2012,Patna,sugarcane,rabi,7062.81,397306.89,56253.38
2012,Patna,jute,kharif,2452.27,4938.24,2013.75
2012,Gaya,rice,kharif,6469.77,15976.21,2469.36
2012,Gaya,wheat,rabi,7267.87,21927.21,3017.01
2012,Gaya,maize,kharif,6682.77,28404.96,4250.48
2012,Gaya,sugarcane,rabi,2856.27,158388.62,55452.98
2012,Gaya,jute,kharif,1163.12,1850.18,1590.71
2012,Bhagalpur,rice,kharif,8392.5,25922.87,3088.82
2012,Bhagalpur,wheat,rabi,2650.98,8239.92,3108.25
2012,Bhagalpur,maize,kharif,8896.15,31850.69,3580.28
2012,Bhagalpur,sugarcane,rabi,8234.33,376899.16,45771.68
2012,Bhagalpur,jute,kharif,5178.15,8744.7,1688.77
2012,Muzaffarpur,rice,kharif,1047.82,2323.32,2217.29
2012,Muzaffarpur,wheat,rabi,7765.72,28633.24,3687.13
2012,Muzaffarpur,maize,kharif,7680.28,33312.47,4337.4
2012,Muzaffarpur,sugarcane,rabi,6887.19,379976.58,55171.46
2012,Muzaffarpur,jute,kharif,7447.57,14154.07,1900.49
2012,Darbhanga,rice,kharif,5563.54,13059.13,2347.27
2012,Darbhanga,wheat,rabi,3447.51,10750.63,3118.37
2012,Darbhanga,maize,kharif,7251.77,24184.43,3334.97
2012,Darbhanga,sugarcane,rabi,8002.23,488624.35,61061.04
2012,Darbhanga,jute,kharif,3336.19,4868.57,1459.32
2012,Purnia,rice,kharif,9081.27,16009.0,1762.86
2012,Purnia,wheat,rabi,1854.26,5520.17,2977.02
2012,Purnia,maize,kharif,4243.84,14024.57,3304.69
2012,Purnia,sugarcane,rabi,1350.44,63441.56,46978.36
2012,Purnia,jute,kharif,6282.43,14023.34,2232.15
2012,Araria,rice,kharif,6371.67,13438.54,2109.11
2012,Araria,wheat,rabi,1480.13,5016.93,3389.52
2012,Araria,maize,kharif,6837.75,22948.39,3356.13
2012,Araria,sugarcane,rabi,7346.25,384816.88,52382.75
2012,Araria,jute,kharif,8225.3,18972.13,2306.56
2012,Kishanganj,rice,kharif,6153.47,13465.14,2188.22
2012,Kishanganj,wheat,rabi,4810.02,12828.38,2667.01
2012,Kishanganj,maize,kharif,8974.84,32768.47,3651.15
2012,Kishanganj,sugarcane,rabi,5185.09,280718.58,54139.62
2012,Kishanganj,jute,kharif,2897.14,4388.89,1514.91
2012,West Champaran,rice,kharif,7833.63,19944.54,2546.01
2012,West Champaran,wheat,rabi,3694.45,11035.85,2987.14
2012,West Champaran,maize,kharif,8281.21,24862.08,3002.23
2012,West Champaran,sugarcane,rabi,6070.68,290150.12,47795.36
2012,West Champaran,jute,kharif,5390.51,9586.87,1778.47
2012,East Champaran,rice,kharif,4767.47,8512.26,1785.49
2012,East Champaran,wheat,rabi,5842.2,16896.64,2892.17
2012,East Champaran,maize,kharif,5433.12,23035.25,4239.78
2012,East Champaran,sugarcane,rabi,7862.02,379214.04,48233.65
2012,East Champaran,jute,kharif,6802.71,14276.55,2098.66
2012,Sheohar,rice,kharif,3507.79,7391.59,2107.2
2012,Sheohar,wheat,rabi,9729.34,32552.52,3345.81
2012,Sheohar,maize,kharif,8606.09,35945.57,4176.76
2012,Sheohar,sugarcane,rabi,8866.65,363162.33,40958.25
2012,Sheohar,jute,kharif,4160.97,7213.41,1733.59
2012,Sitamarhi,rice,kharif,9175.91,19957.62,2175.0
2012,Sitamarhi,wheat,rabi,9996.02,25218.45,2522.85
2012,Sitamarhi,maize,kharif,2840.04,10191.81,3588.62
